Date,Date,index,Open,High,Low,Close,Adj Close,Volume
2010-12-01,2010-12-01,1,9939.7998046875,9988.0498046875,9918.5498046875,9988.0498046875,9988.0498046875,122600000.0
2010-12-02,2010-12-02,2,10151.150390625,10187.58984375,10143.080078125,10168.51953125,10168.51953125,131400000.0
2010-12-03,2010-12-03,3,10231.7802734375,10254.0,10154.990234375,10178.3203125,10178.3203125,107700000.0
2010-12-04,2010-12-04,4,10212.930338541666,10229.2734375,10151.186848958334,10174.623697916666,10174.623697916666,103566666.66666667
2010-12-05,2010-12-05,5,10194.080403645834,10204.546875,10147.383463541666,10170.927083333334,10170.927083333334,99433333.33333333
2010-12-06,2010-12-06,6,10175.23046875,10179.8203125,10143.580078125,10167.23046875,10167.23046875,95300000.0
2010-12-07,2010-12-07,7,10152.919921875,10167.099609375,10094.41015625,10141.099609375,10141.099609375,114800000.0
2010-12-08,2010-12-08,8,10200.16015625,10258.900390625,10184.3203125,10232.330078125,10232.330078125,126600000.0
2010-12-09,2010-12-09,9,10277.8701171875,10298.25,10240.1103515625,10285.8798828125,10285.8798828125,153400000.0
2010-12-10,2010-12-10,10,10373.7001953125,10373.7001953125,10194.26953125,10211.9501953125,10211.9501953125,240700000.0
2010-12-11,2010-12-11,11,10319.973307291666,10347.0966796875,10196.08984375,10239.263346354166,10239.263346354166,208900000.0
2010-12-12,2010-12-12,12,10266.246419270834,10320.4931640625,10197.91015625,10266.576497395834,10266.576497395834,177100000.0
2010-12-13,2010-12-13,13,10212.51953125,10293.8896484375,10199.73046875,10293.8896484375,10293.8896484375,145300000.0
2010-12-14,2010-12-14,14,10272.7001953125,10319.240234375,10267.2197265625,10316.76953125,10316.76953125,170500000.0
2010-12-15,2010-12-15,15,10338.1396484375,10340.6904296875,10282.849609375,10309.7802734375,10309.7802734375,137400000.0
2010-12-16,2010-12-16,16,10297.5498046875,10347.3896484375,10282.5400390625,10311.2900390625,10311.2900390625,140800000.0
2010-12-17,2010-12-17,17,10307.169921875,10327.419921875,10280.7998046875,10303.830078125,10303.830078125,140400000.0
2010-12-18,2010-12-18,18,10303.6298828125,10318.663411458334,10248.11328125,10274.690104166666,10274.690104166666,131466666.66666667
2010-12-19,2010-12-19,19,10300.08984375,10309.906901041666,10215.4267578125,10245.550130208334,10245.550130208334,122533333.33333333
2010-12-20,2010-12-20,20,10296.5498046875,10301.150390625,10182.740234375,10216.41015625,10216.41015625,113600000.0
2010-12-21,2010-12-21,21,10277.1396484375,10372.509765625,10266.2900390625,10370.5302734375,10370.5302734375,113300000.0
2010-12-22,2010-12-22,22,10348.48046875,10394.2197265625,10327.599609375,10346.48046875,10346.48046875,142100000.0
2010-12-23,2010-12-23,23,10312.22509765625,10342.5546875,10295.82958984375,10312.83544921875,10312.83544921875,114150000.0
2010-12-24,2010-12-24,24,10275.9697265625,10290.8896484375,10264.0595703125,10279.1904296875,10279.1904296875,86200000.0
2010-12-25,2010-12-25,25,10281.593098958334,10319.563151041666,10273.652994791666,10304.790364583334,10304.790364583334,85166666.66666667
2010-12-26,2010-12-26,26,10287.216471354166,10348.236653645834,10283.246419270834,10330.390299479166,10330.390299479166,84133333.33333333
2010-12-27,2010-12-27,27,10292.83984375,10376.91015625,10292.83984375,10355.990234375,10355.990234375,83100000.0
2010-12-28,2010-12-28,28,10330.009765625,10340.83984375,10292.6298828125,10292.6298828125,10292.6298828125,77900000.0
2010-12-29,2010-12-29,29,10282.83984375,10344.5400390625,10276.6103515625,10344.5400390625,10344.5400390625,87600000.0
2010-12-30,2010-12-30,30,10303.1298828125,10315.4697265625,10209.9296875,10228.919921875,10228.919921875,107800000.0
2010-12-31,2010-12-31,31,10312.9419921875,10334.209765625,10232.1998046875,10262.755859375,10262.755859375,109060000.0
2011-01-01,2011-01-01,32,10322.7541015625,10352.9498046875,10254.469921875,10296.591796875,10296.591796875,110320000.0
2011-01-02,2011-01-02,33,10332.5662109375,10371.68984375,10276.7400390625,10330.427734375,10330.427734375,111580000.0
2011-01-03,2011-01-03,34,10342.3783203125,10390.4298828125,10299.01015625,10364.263671875,10364.263671875,112840000.0
2011-01-04,2011-01-04,35,10352.1904296875,10409.169921875,10321.2802734375,10398.099609375,10398.099609375,114100000.0
2011-01-05,2011-01-05,36,10387.9501953125,10413.4501953125,10358.009765625,10380.76953125,10380.76953125,114600000.0
2011-01-06,2011-01-06,37,10477.51953125,10530.1103515625,10477.51953125,10529.759765625,10529.759765625,166000000.0
2011-01-07,2011-01-07,38,10506.7197265625,10550.7099609375,10503.01953125,10541.0400390625,10541.0400390625,161800000.0
2011-01-08,2011-01-08,39,10501.19482421875,10547.6298828125,10496.337158203125,10533.449951171875,10533.449951171875,155975000.0
2011-01-09,2011-01-09,40,10495.669921875,10544.5498046875,10489.65478515625,10525.85986328125,10525.85986328125,150150000.0
2011-01-10,2011-01-10,41,10490.14501953125,10541.4697265625,10482.972412109375,10518.269775390625,10518.269775390625,144325000.0
2011-01-11,2011-01-11,42,10484.6201171875,10538.3896484375,10476.2900390625,10510.6796875,10510.6796875,138500000.0
2011-01-12,2011-01-12,43,10562.2802734375,10576.509765625,10502.9599609375,10512.7998046875,10512.7998046875,170700000.0
2011-01-13,2011-01-13,44,10593.4599609375,10620.5703125,10565.2802734375,10589.759765625,10589.759765625,160900000.0
2011-01-14,2011-01-14,45,10502.76953125,10579.9697265625,10497.259765625,10499.0400390625,10499.0400390625,170900000.0
2011-01-15,2011-01-15,46,10522.54296875,10574.109700520834,10492.4033203125,10500.3134765625,10500.3134765625,156166666.66666666
2011-01-16,2011-01-16,47,10542.31640625,10568.249674479166,10487.546875,10501.5869140625,10501.5869140625,141433333.33333334
2011-01-17,2011-01-17,48,10562.08984375,10562.3896484375,10482.6904296875,10502.8603515625,10502.8603515625,126700000.0
2011-01-18,2011-01-18,49,10461.0400390625,10548.2099609375,10456.7099609375,10518.98046875,10518.98046875,126400000.0
2011-01-19,2011-01-19,50,10567.8798828125,10580.6796875,10534.01953125,10557.099609375,10557.099609375,138600000.0
2011-01-20,2011-01-20,51,10492.3203125,10505.6298828125,10421.830078125,10437.3095703125,10437.3095703125,132900000.0
2011-01-21,2011-01-21,52,10459.0400390625,10461.0703125,10257.990234375,10274.51953125,10274.51953125,183900000.0
2011-01-22,2011-01-22,53,10412.2265625,10423.3603515625,10264.930013020834,10298.0498046875,10298.0498046875,167300000.0
2011-01-23,2011-01-23,54,10365.4130859375,10385.650390625,10271.869791666666,10321.580078125,10321.580078125,150700000.0
2011-01-24,2011-01-24,55,10318.599609375,10347.9404296875,10278.8095703125,10345.1103515625,10345.1103515625,134100000.0
2011-01-25,2011-01-25,56,10374.6396484375,10480.240234375,10355.7998046875,10464.419921875,10464.419921875,142900000.0
2011-01-26,2011-01-26,57,10410.2900390625,10440.349609375,10392.4599609375,10401.900390625,10401.900390625,111000000.0
2011-01-27,2011-01-27,58,10466.33984375,10496.400390625,10421.75,10478.66015625,10478.66015625,145300000.0
2011-01-28,2011-01-28,59,10460.2900390625,10480.080078125,10332.650390625,10360.33984375,10360.33984375,150700000.0
2011-01-29,2011-01-29,60,10380.186848958334,10408.706705729166,10282.623697916666,10319.533203125,10319.533203125,149133333.33333334
2011-01-30,2011-01-30,61,10300.083658854166,10337.333333333334,10232.597005208334,10278.7265625,10278.7265625,147566666.66666666
2011-01-31,2011-01-31,62,10219.98046875,10265.9599609375,10182.5703125,10237.919921875,10237.919921875,146000000.0
2011-02-01,2011-02-01,63,10281.5498046875,10299.3798828125,10245.75,10274.5,10274.5,149000000.0
2011-02-02,2011-02-02,64,10368.48046875,10479.75,10366.9599609375,10457.3603515625,10457.3603515625,180500000.0
2011-02-03,2011-02-03,65,10424.6796875,10450.4599609375,10409.83984375,10431.3603515625,10431.3603515625,150700000.0
2011-02-04,2011-02-04,66,10526.3896484375,10580.3603515625,10524.1298828125,10543.51953125,10543.51953125,200300000.0
2011-02-05,2011-02-05,67,10564.693033854166,10601.6435546875,10540.326497395834,10559.693033854166,10559.693033854166,187633333.33333334
